Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"2BR Condo Unit for Sale in Baguio City, Benguet at The Sofia Terraces | 45.20sqm",Condo Unit,"Quezon Hill Proper, Baguio",Baguio,Benguet,CAR,1,"8,480,424",2,1,45,na,45,188453.87,16.41297,120.5797812,https://www.lamudi.com.ph/2br-condo-unit-for-sale-in-baguio-city-benguet-at-171152899897.html
"Ready For You: Residential Lot for Sale in Balamban, Cebu at Foressa Mountain Town at...",Lot,"Cansomoroy, Balamban",Balamban,Cebu,Region VII,0,"7,189,000",na,na,na,770,770,9336.36,10.47535,123.755596,https://www.lamudi.com.ph/ready-for-you-residential-lot-for-sale-in-balamban-17102306820.html
"Parkside Premium Lot for Sale in Balamban, Cebu at Foressa Mountain Town",Lot,"Cansomoroy, Balamban",Balamban,Cebu,Region VII,0,"10,600,000",na,na,na,800,800,13250,10.4759,123.7635836,https://www.lamudi.com.ph/parkside-premium-lot-for-sale-in-balamban-cebu-at-170789173295.html
"Hillside Lot for Sale in Balamban, Cebu at Foressa Mountain Town",Lot,"Cansomoroy, Balamban",Balamban,Cebu,Region VII,0,"6,900,000",na,na,na,770,770,8961.04,10.4759,123.7635836,https://www.lamudi.com.ph/hillside-lot-for-sale-in-balamban-cebu-at-foressa-170789172852.html
"Avenue Lot for Sale in Balamban, Cebu at Foressa Mountain Town",Lot,"Cansomoroy, Balamban",Balamban,Cebu,Region VII,0,"8,600,000",na,na,na,540,540,15925.93,10.4759,123.7635836,https://www.lamudi.com.ph/avenue-lot-for-sale-in-balamban-cebu-at-foressa-mo-170789172561.html
"Brand New Townhouse for Sale at Boomtown Cupang, Bauan, Batangas",House,"Cupang, Bauan",Bauan,Batangas,Region IV-A,0,"4,300,000",4,na,110,67,177,24293.79,13.837575,120.993375,https://www.lamudi.com.ph/brand-new-townhouse-for-sale-at-boomtown-cupang-ba-17133322672.html
"Studio Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 23.76 sqm",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"4,850,000",1,1,23,na,23,210869.57,8.93346,125.5321277,https://www.lamudi.com.ph/studio-condo-unit-for-sale-in-butuan-city-agusan-d-17104098554.html
"Studio 7F Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 23.76 sqm",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"5,049,000",1,1,23,na,23,219521.74,8.93346,125.5321277,https://www.lamudi.com.ph/studio-7f-condo-unit-for-sale-in-butuan-city-agusa-171046433564.html
"2-Bedroom 7F Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 40.26 s...",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"8,638,000",1,1,40,na,40,215950,8.93346,125.5321277,https://www.lamudi.com.ph/2-bedroom-7f-condo-unit-for-sale-in-butuan-city-ag-171046433525.html
"2-Bedroom 3F Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 40.26 s...",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"8,437,000",1,1,40,na,40,210925,8.93346,125.5321277,https://www.lamudi.com.ph/2-bedroom-3f-condo-unit-for-sale-in-butuan-city-ag-171046433658.html
"1 Bedroom Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 36.30 sqm",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"7,652,000",1,1,36,na,36,212555.56,8.93346,125.5321277,https://www.lamudi.com.ph/1-bedroom-condo-unit-for-sale-in-butuan-city-agusa-171046365554.html
"1 Bedroom 6F Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 30.36 s...",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"6,489,000",1,1,30,na,30,216300,8.93346,125.5321277,https://www.lamudi.com.ph/1-bedroom-6f-condo-unit-for-sale-in-butuan-city-ag-171046433479.html
"1 Bedroom 3F Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 30.36 s...",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"6,305,000",1,1,30,na,30,210166.67,8.93346,125.5321277,https://www.lamudi.com.ph/1-bedroom-3f-condo-unit-for-sale-in-butuan-city-ag-171046433532.html
"1 Bedroom 1F Condo Unit for Sale in Butuan City, Agusan del Norte at Soleia | 30.36 s...",Condo Unit,"Villa Kananga, Butuan",Butuan,Agusan del Norte,Region XIII,1,"5,967,000",1,1,30,na,30,198900,8.93346,125.5321277,https://www.lamudi.com.ph/1-bedroom-1f-condo-unit-for-sale-in-butuan-city-ag-171046433653.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 99sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,020,000",na,na,na,99,99,30505.05,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989958.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 97sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,313,000",na,na,na,97,97,34154.64,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014990719.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 96sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,101,000",na,na,na,96,96,32302.08,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171013802967.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 88sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,694,000",na,na,na,88,88,30613.64,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014990383.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 72sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,481,000",na,na,na,72,72,34458.33,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989464.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 66sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,282,000",na,na,na,66,66,34575.76,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989919.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 65sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,078,000",na,na,na,65,65,31969.23,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171013802764.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 63sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,017,000",na,na,na,63,63,32015.87,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171013802827.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 162sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,355,000",na,na,na,162,162,33055.56,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989655.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 150sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,970,000",na,na,na,150,150,33133.33,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989567.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 132sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,393,000",na,na,na,132,132,33280.3,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989774.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 122sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,145,000",na,na,na,122,122,33975.41,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989682.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 121sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,596,000",na,na,na,121,121,46247.93,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014990991.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 121sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,743,000",na,na,na,121,121,30933.88,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014989552.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 120sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,868,000",na,na,na,120,120,32233.33,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171013802662.html
"Residential Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 110sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,416,000",na,na,na,110,110,31054.55,15.47192,120.9835761,https://www.lamudi.com.ph/residential-lot-for-sale-in-cabanatuan-nueva-ecija-171014990359.html
"For Sale Residential Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 99sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,335,000",na,na,na,99,99,33686.87,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-residential-lot-in-cabanatuan-nueva-ecija-171014989433.html
"For Sale Residential Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 63sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"1,953,000",na,na,na,63,63,31000,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-residential-lot-in-cabanatuan-nueva-ecija-171014990074.html
"For Sale Residential Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 60sqm Lo...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,014,000",na,na,na,60,60,33566.67,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-residential-lot-in-cabanatuan-nueva-ecija-171014989956.html
"For Sale Residential Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | 143sqm L...",Lot,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,746,000",na,na,na,143,143,33188.81,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-residential-lot-in-cabanatuan-nueva-ecija-171014990110.html
2BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija ...,House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,270,000",2,na,46,63,109,39174.31,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014990533.html
"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,097,000",2,na,40,60,100,40970,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014990242.html
"2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,079,000",2,na,53,88,141,36021.28,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014991032.html
"2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | A...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,698,000",2,na,36,40,76,35500,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-townhouse-for-sale-in-cabanatuan-nuev-171014989852.html
"2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | A...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,793,000",2,na,36,42,78,35807.69,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-townhouse-for-sale-in-cabanatuan-nuev-171012781376.html
"2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | A...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,230,000",2,na,36,65,101,31980.2,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-townhouse-for-sale-in-cabanatuan-nuev-171014989552.html
"2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | A...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,309,000",2,na,36,63,99,33424.24,15.47192,120.9835761,https://www.lamudi.com.ph/2br-2-storey-townhouse-for-sale-in-cabanatuan-nuev-171013802635.html
3BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija ...,House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"6,497,000",3,na,66,99,165,39375.76,15.47192,120.9835761,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-cabanatuan-171013802819.html
"3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"6,650,000",3,na,66,110,176,37784.09,15.47192,120.9835761,https://www.lamudi.com.ph/3br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014989625.html
"4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"8,686,000",4,na,85,141,226,38433.63,15.47192,120.9835761,https://www.lamudi.com.ph/4br-2-storey-house-and-lot-for-sale-in-cabanatuan-171013802995.html
5BR 2-Storey House and Lot for Sale in Cabanatuan Nueva Ecija at Camella Nueva Ecija ...,House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"10,575,000",5,na,166,143,309,34223.3,15.47192,120.9835761,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014989836.html
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"7,650,000",5,na,100,121,221,34615.38,15.47192,120.9835761,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014991650.html
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"8,732,000",5,na,142,121,263,33201.52,15.47192,120.9835761,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014991275.html
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"9,153,000",5,na,100,141,241,37979.25,15.47192,120.9835761,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-cabanatuan-171013802999.html
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"9,584,000",5,na,142,132,274,34978.1,15.47192,120.9835761,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-cabanatuan-171014989442.html
"5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"10,956,000",5,na,166,143,309,35456.31,15.47192,120.9835761,https://www.lamudi.com.ph/5br-2-storey-house-and-lot-for-sale-in-cabanatuan-171013802770.html
"BTS 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,383,000",2,na,40,63,103,42553.4,15.47192,120.9835761,https://www.lamudi.com.ph/bts-2br-2-storey-house-and-lot-for-sale-in-cabanat-171013802699.html
"For Sale 2BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,425,000",2,na,53,88,141,38475.18,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-2br-2-storey-house-and-lot-in-cabanatuan-17101499055.html
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,991,000",3,na,66,99,165,36309.09,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-3br-2-storey-house-and-lot-in-cabanatuan-171014991283.html
"For Sale 3BR 2-Storey House and Lot in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"6,200,000",3,na,66,99,165,37575.76,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-3br-2-storey-house-and-lot-in-cabanatuan-171014989817.html
"For Sale RFO 2BR 2-Storey Townhouse in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,972,000",2,na,40,36,76,39105.26,15.47192,120.9835761,https://www.lamudi.com.ph/for-sale-rfo-2br-2-storey-townhouse-in-cabanatuan-171014991772.html
"OG 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ec...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,787,000",2,na,46,64,110,43518.18,15.47192,120.9835761,https://www.lamudi.com.ph/og-2br-2-storey-house-and-lot-for-sale-in-cabanatu-171013802849.html
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,259,000",2,na,46,54,100,42590,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-house-and-lot-for-sale-in-cabanat-171014990875.html
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,348,000",2,na,40,63,103,42213.59,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-house-and-lot-for-sale-in-cabanat-171014991324.html
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,458,000",2,na,46,63,109,40899.08,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-house-and-lot-for-sale-in-cabanat-171014991725.html
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,633,000",2,na,46,60,106,43707.55,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-house-and-lot-for-sale-in-cabanat-171014989413.html
"RFO 2BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,772,000",2,na,53,89,142,40647.89,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-house-and-lot-for-sale-in-cabanat-171014990960.html
"RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,799,000",2,na,36,36,72,38875,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-townhouse-for-sale-in-cabanatuan-17101499135.html
"RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,092,000",2,na,40,36,76,40684.21,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-townhouse-for-sale-in-cabanatuan-171014991621.html
"RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"3,302,000",2,na,40,42,82,40268.29,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-townhouse-for-sale-in-cabanatuan-171014990787.html
"RFO 2BR 2-Storey Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,263,000",2,na,40,60,100,42630,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-2-storey-townhouse-for-sale-in-cabanatuan-171014991116.html
"RFO 2BR Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Angeli...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,033,000",2,na,35,36,71,28633.8,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-townhouse-for-sale-in-cabanatuan-nueva-eci-171098793111.html
"RFO 2BR Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Angeli...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,131,000",2,na,42,54,96,22197.92,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-2br-townhouse-for-sale-in-cabanatuan-nueva-eci-171098792280.html
"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"7,240,000",3,na,53,133,186,38924.73,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-3br-2-storey-house-and-lot-for-sale-in-cabanat-171014991284.html
"RFO 3BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"8,915,000",3,na,66,121,187,47673.8,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-3br-2-storey-house-and-lot-for-sale-in-cabanat-171014991114.html
"RFO 3BR House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | An...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,330,000",3,na,35,60,95,24526.32,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-3br-house-and-lot-for-sale-in-cabanatuan-nueva-171098792751.html
"RFO 3BR House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Ar...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,533,000",3,na,42,54,96,26385.42,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-3br-house-and-lot-for-sale-in-cabanatuan-nueva-171098792522.html
"RFO 3BR Townhouse for Sale in Cabanatuan, Nueva Ecija at Camella Nueva Ecija | Armina...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"2,429,000",3,na,42,54,96,25302.08,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-3br-townhouse-for-sale-in-cabanatuan-nueva-eci-171098792212.html
"RFO 4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"7,503,000",4,na,83,99,182,41225.27,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-4br-2-storey-house-and-lot-for-sale-in-cabanat-171013802716.html
"RFO 4BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"10,863,000",4,na,85,204,289,37588.24,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-4br-2-storey-house-and-lot-for-sale-in-cabanat-171013802720.html
"RFO 5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"7,618,000",5,na,100,110,210,36276.19,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-5br-2-storey-house-and-lot-for-sale-in-cabanat-171014990637.html
"RFO 5BR 2-Storey House and Lot for Sale in Cabanatuan, Nueva Ecija at Camella Nueva E...",House,"Santa Arcadia, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"10,692,000",5,na,97,121,218,49045.87,15.47192,120.9835761,https://www.lamudi.com.ph/rfo-5br-2-storey-house-and-lot-for-sale-in-cabanat-17101499049.html
"3BR Single Detached House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Cabana...",House,"Valle Cruz, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"4,896,200",3,na,81,117,198,24728.28,15.4764,120.9882389,https://www.lamudi.com.ph/3br-single-detached-house-and-lot-for-sale-in-caba-171022362037.html
"Ready For You: 3BR SA House and Lot for Sale in Cabanatuan, Nueva Ecija at Ajoya Caba...",House,"Valle Cruz, Cabanatuan",Cabanatuan,Nueva Ecija,Region III,0,"5,381,000",3,na,80,203,283,19014.13,15.4764,120.9882389,https://www.lamudi.com.ph/ready-for-you-3br-sa-house-and-lot-for-sale-in-cab-171023069238.html
"Single Attached House and Lot for Sale in Centerra Cabuyao, Laguna",House,"Gulod, Cabuyao",Cabuyao,Laguna,Region IV-A,0,"2,700,000",2,na,42,75,117,23076.92,14.2562824,121.1623549,https://www.lamudi.com.ph/single-attached-house-and-lot-for-sale-in-centerra-170487252142.html
