Description,Real Estate Type,Location,City,Province,Region,Highly Urbanized?,Price (PHP),Bedrooms,Bath,Floor_area (sqm),Land_area (sqm),Total_area (sqm),Price per sqm,Latitude,Longitude,Link
"3BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga",House,"Eden, Mexico",Mexico,Pampanga,Region III,0,"4,113,000",3,na,72,88,160,25706.25,15.1284,120.6539916,https://www.lamudi.com.ph/3br-single-attached-house-and-lot-for-sale-in-mexi-170789169610.html
"4BR Single Attached House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga",House,"Eden, Mexico",Mexico,Pampanga,Region III,0,"5,278,000",4,na,91,143,234,22555.56,15.1284,120.6539916,https://www.lamudi.com.ph/4br-single-attached-house-and-lot-for-sale-in-mexi-170789170132.html
"Ready For You: 2BR SA House and Lot for Sale in Mexico, Pampanga at Ajoya Pampanga at...",House,"Eden, Mexico",Mexico,Pampanga,Region III,0,"3,979,000",2,na,59,88,147,27068.03,15.1284,120.6539916,https://www.lamudi.com.ph/ready-for-you-2br-sa-house-and-lot-for-sale-in-mex-171022025896.html
"2BR House and Lot for Sale in Mexico, Pampanga | Parklane at The Lakeshore, Imperial",House,"San Rafael, Mexico",Mexico,Pampanga,Region III,0,"1,837,500",2,na,52,na,52,35336.54,15.7144,120.713586,https://www.lamudi.com.ph/2br-house-and-lot-for-sale-in-mexico-pampanga-park-170288827391.html
"1BR House and Lot for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Duo W...",House,"Divisoria, Mexico",Mexico,Pampanga,Region III,0,"1,635,170",1,na,78,na,78,20963.72,15.80355,120.706125,https://www.lamudi.com.ph/1br-house-and-lot-for-sale-in-mexico-pampanga-flav-17028882738.html
"2BR House and Lot for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Nest",House,"Divisoria, Mexico",Mexico,Pampanga,Region III,0,"4,710,000",2,na,72,121,193,24404.15,15.80355,120.706125,https://www.lamudi.com.ph/2br-house-and-lot-for-sale-in-mexico-pampanga-flav-170288827210.html
"2BR Townhouse for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Alcove",House,"Divisoria, Mexico",Mexico,Pampanga,Region III,0,"2,530,000",2,na,48,45,93,27204.3,15.80355,120.706125,https://www.lamudi.com.ph/2br-townhouse-for-sale-in-mexico-pampanga-flavorsc-170288826878.html
"2BR Townhouse for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Spaces",House,"Divisoria, Mexico",Mexico,Pampanga,Region III,0,"2,210,000",2,na,42,45,87,25402.3,15.80355,120.706125,https://www.lamudi.com.ph/2br-townhouse-for-sale-in-mexico-pampanga-flavorsc-170288826641.html
"3BR House and Lot for Sale in Mexico, Pampanga | Flavorscapes at The Lakeshore, Cocoo...",House,"Divisoria, Mexico",Mexico,Pampanga,Region III,0,"3,190,000",3,na,60,80,140,22785.71,15.80355,120.706125,https://www.lamudi.com.ph/3br-house-and-lot-for-sale-in-mexico-pampanga-flav-17028882709.html
"Studio with Balcony High-Rise Condo Unit for Sale in Southkey Place – West Wing, Alab...",Condo Unit,"Alabang, Muntinlupa",Muntinlupa,Metropolitan Manila,NCR,1,"5,008,401",1,1,25,na,25,200336.04,14.4249,121.0408551,https://www.lamudi.com.ph/studio-with-balcony-high-rise-condo-unit-for-sale-169698895191.html
